Country,Subcategory,Unit,Year,Actual
Japan,Economy Wet Dog Food,Kilograms,2025,79628371
Japan,Mid-Priced Dry Cat Food,Kilograms,2012,24636259
Japan,Mid-Priced Dry Cat Food,Kilograms,2013,39608695
Japan,Mid-Priced Dry Cat Food,Kilograms,2014,27463616
Japan,Mid-Priced Dry Cat Food,Kilograms,2015,56293606
Japan,Mid-Priced Dry Cat Food,Kilograms,2016,75914432
Japan,Mid-Priced Dry Cat Food,Kilograms,2017,35087713
Japan,Mid-Priced Dry Cat Food,Kilograms,2018,23537114
Japan,Mid-Priced Dry Cat Food,Kilograms,2019,68262896
Japan,Mid-Priced Dry Cat Food,Kilograms,2020,62138565
Japan,Mid-Priced Dry Cat Food,Kilograms,2021,53270917
Japan,Mid-Priced Dry Cat Food,Kilograms,2022,46685359
Japan,Mid-Priced Dry Cat Food,Kilograms,2023,73431421
Japan,Mid-Priced Dry Cat Food,Kilograms,2024,83180127
Japan,Mid-Priced Dry Cat Food,Kilograms,2025,26392854
Japan,Mid-Priced Dry Dog Food,Kilograms,2012,25217857
Japan,Mid-Priced Dry Dog Food,Kilograms,2013,22752940
Japan,Mid-Priced Dry Dog Food,Kilograms,2014,44132028
Japan,Mid-Priced Dry Dog Food,Kilograms,2015,60139692
Japan,Mid-Priced Dry Dog Food,Kilograms,2016,49555231
Japan,Mid-Priced Dry Dog Food,Kilograms,2017,79291814
Japan,Mid-Priced Dry Dog Food,Kilograms,2018,50756496
Japan,Mid-Priced Dry Dog Food,Kilograms,2019,54569390
Japan,Mid-Priced Dry Dog Food,Kilograms,2020,76202366
Japan,Mid-Priced Dry Dog Food,Kilograms,2021,75042465
Japan,Mid-Priced Dry Dog Food,Kilograms,2022,46938168
Japan,Mid-Priced Dry Dog Food,Kilograms,2023,87062078
Japan,Mid-Priced Dry Dog Food,Kilograms,2024,55611044
Japan,Mid-Priced Dry Dog Food,Kilograms,2025,31314303
Japan,Mid-Priced Wet Cat Food,Kilograms,2012,79375496
Japan,Mid-Priced Wet Cat Food,Kilograms,2013,86273135
Japan,Mid-Priced Wet Cat Food,Kilograms,2014,60171997
Japan,Mid-Priced Wet Cat Food,Kilograms,2015,54989821
Japan,Mid-Priced Wet Cat Food,Kilograms,2016,31072565
Japan,Mid-Priced Wet Cat Food,Kilograms,2017,75056275
Japan,Mid-Priced Wet Cat Food,Kilograms,2018,67931781
Japan,Mid-Priced Wet Cat Food,Kilograms,2019,67920905
Japan,Mid-Priced Wet Cat Food,Kilograms,2020,57296375
Japan,Mid-Priced Wet Cat Food,Kilograms,2021,79526417
Japan,Mid-Priced Wet Cat Food,Kilograms,2022,58484710
Japan,Mid-Priced Wet Cat Food,Kilograms,2023,53350553
Japan,Mid-Priced Wet Cat Food,Kilograms,2024,38184947
Japan,Mid-Priced Wet Cat Food,Kilograms,2025,63387552
Japan,Mid-Priced Wet Dog Food,Kilograms,2012,55472809
Japan,Mid-Priced Wet Dog Food,Kilograms,2013,39842757
Japan,Mid-Priced Wet Dog Food,Kilograms,2014,43639104
Japan,Mid-Priced Wet Dog Food,Kilograms,2015,78105280
Japan,Mid-Priced Wet Dog Food,Kilograms,2016,57173813
Japan,Mid-Priced Wet Dog Food,Kilograms,2017,63883256
Japan,Mid-Priced Wet Dog Food,Kilograms,2018,44124453
Japan,Mid-Priced Wet Dog Food,Kilograms,2019,20400613
Japan,Mid-Priced Wet Dog Food,Kilograms,2020,89728567
Japan,Mid-Priced Wet Dog Food,Kilograms,2021,25487857
Japan,Mid-Priced Wet Dog Food,Kilograms,2022,82486091
Japan,Mid-Priced Wet Dog Food,Kilograms,2023,49339895
Japan,Mid-Priced Wet Dog Food,Kilograms,2024,26137754
Japan,Mid-Priced Wet Dog Food,Kilograms,2025,83716382
Japan,Premium Dry Cat Food,Kilograms,2012,88422456
Japan,Premium Dry Cat Food,Kilograms,2013,48393811
Japan,Premium Dry Cat Food,Kilograms,2014,20429570
Japan,Premium Dry Cat Food,Kilograms,2015,34321824
Japan,Premium Dry Cat Food,Kilograms,2016,74151913
Japan,Premium Dry Cat Food,Kilograms,2017,56347754
Japan,Premium Dry Cat Food,Kilograms,2018,55817683
Japan,Premium Dry Cat Food,Kilograms,2019,79821637
Japan,Premium Dry Cat Food,Kilograms,2020,66395766
Japan,Premium Dry Cat Food,Kilograms,2021,24286300
Japan,Premium Dry Cat Food,Kilograms,2022,72526740
Japan,Premium Dry Cat Food,Kilograms,2023,86946168
Japan,Premium Dry Cat Food,Kilograms,2024,25249139
Japan,Premium Dry Cat Food,Kilograms,2025,57772706
Japan,Premium Dry Dog Food,Kilograms,2012,21461374
Japan,Premium Dry Dog Food,Kilograms,2013,31414433
Japan,Premium Dry Dog Food,Kilograms,2014,64830611
Japan,Premium Dry Dog Food,Kilograms,2015,46085963
Japan,Premium Dry Dog Food,Kilograms,2016,44673289
Japan,Premium Dry Dog Food,Kilograms,2017,63257206
Japan,Premium Dry Dog Food,Kilograms,2018,48582084
Japan,Premium Dry Dog Food,Kilograms,2019,63396100
Japan,Premium Dry Dog Food,Kilograms,2020,48161865
Japan,Premium Dry Dog Food,Kilograms,2021,53183765
Japan,Premium Dry Dog Food,Kilograms,2022,61639441
Japan,Premium Dry Dog Food,Kilograms,2023,55322015
Japan,Premium Dry Dog Food,Kilograms,2024,81283344
Japan,Premium Dry Dog Food,Kilograms,2025,34554891
Japan,Premium Wet Cat Food,Kilograms,2012,45172661
Japan,Premium Wet Cat Food,Kilograms,2013,77909423
Japan,Premium Wet Cat Food,Kilograms,2014,21918205
Japan,Premium Wet Cat Food,Kilograms,2015,54301032
Japan,Premium Wet Cat Food,Kilograms,2016,63904662
Japan,Premium Wet Cat Food,Kilograms,2017,32384159
Japan,Premium Wet Cat Food,Kilograms,2018,38837033
Japan,Premium Wet Cat Food,Kilograms,2019,82635250
Japan,Premium Wet Cat Food,Kilograms,2020,28498228
Japan,Premium Wet Cat Food,Kilograms,2021,50723347
Japan,Premium Wet Cat Food,Kilograms,2022,51763210
Japan,Premium Wet Cat Food,Kilograms,2023,30639913
Japan,Premium Wet Cat Food,Kilograms,2024,70698399
Japan,Premium Wet Cat Food,Kilograms,2025,55438597
Japan,Premium Wet Dog Food,Kilograms,2012,70946368
Japan,Premium Wet Dog Food,Kilograms,2013,78915978
Japan,Premium Wet Dog Food,Kilograms,2014,20077779
Japan,Premium Wet Dog Food,Kilograms,2015,53145551
Japan,Premium Wet Dog Food,Kilograms,2016,72161271
Japan,Premium Wet Dog Food,Kilograms,2017,62419323
Japan,Premium Wet Dog Food,Kilograms,2018,38816148
Japan,Premium Wet Dog Food,Kilograms,2019,53560474
Japan,Premium Wet Dog Food,Kilograms,2020,81203898
Japan,Premium Wet Dog Food,Kilograms,2021,46714094
Japan,Premium Wet Dog Food,Kilograms,2022,86072692
Japan,Premium Wet Dog Food,Kilograms,2023,21505484
Japan,Premium Wet Dog Food,Kilograms,2024,69406127
Japan,Premium Wet Dog Food,Kilograms,2025,87448255
Malaysia,Economy Dry Cat Food,Kilograms,2012,83690260
Malaysia,Economy Dry Cat Food,Kilograms,2013,67699471
Malaysia,Economy Dry Cat Food,Kilograms,2014,56614992
Malaysia,Economy Dry Cat Food,Kilograms,2015,28648362
Malaysia,Economy Dry Cat Food,Kilograms,2016,57145582
Malaysia,Economy Dry Cat Food,Kilograms,2017,30248196
Malaysia,Economy Dry Cat Food,Kilograms,2018,38924938
Malaysia,Economy Dry Cat Food,Kilograms,2019,83950007
Malaysia,Economy Dry Cat Food,Kilograms,2020,34761751
Malaysia,Economy Dry Cat Food,Kilograms,2021,40620421
Malaysia,Economy Dry Cat Food,Kilograms,2022,81132683
Malaysia,Economy Dry Cat Food,Kilograms,2023,31772726
Malaysia,Economy Dry Cat Food,Kilograms,2024,36759062
Malaysia,Economy Dry Cat Food,Kilograms,2025,56658985
Malaysia,Economy Dry Dog Food,Kilograms,2012,62145636
Malaysia,Economy Dry Dog Food,Kilograms,2013,20374016
Malaysia,Economy Dry Dog Food,Kilograms,2014,84445502
Malaysia,Economy Dry Dog Food,Kilograms,2015,42458383
Malaysia,Economy Dry Dog Food,Kilograms,2016,55821264
Malaysia,Economy Dry Dog Food,Kilograms,2017,45248828
Malaysia,Economy Dry Dog Food,Kilograms,2018,51624883
Malaysia,Economy Dry Dog Food,Kilograms,2019,70753235
Malaysia,Economy Dry Dog Food,Kilograms,2020,20707417
Malaysia,Economy Dry Dog Food,Kilograms,2021,40936033
Malaysia,Economy Dry Dog Food,Kilograms,2022,28265244
Malaysia,Economy Dry Dog Food,Kilograms,2023,28186867
Malaysia,Economy Dry Dog Food,Kilograms,2024,63329926
Malaysia,Economy Dry Dog Food,Kilograms,2025,78143825
Malaysia,Economy Wet Cat Food,Kilograms,2012,78731237
Malaysia,Economy Wet Cat Food,Kilograms,2013,89680078
Malaysia,Economy Wet Cat Food,Kilograms,2014,78969323
Malaysia,Economy Wet Cat Food,Kilograms,2015,67340939
Malaysia,Economy Wet Cat Food,Kilograms,2016,71157892
Malaysia,Economy Wet Cat Food,Kilograms,2017,42772961
Malaysia,Economy Wet Cat Food,Kilograms,2018,30450658
Malaysia,Economy Wet Cat Food,Kilograms,2019,28806484
Malaysia,Economy Wet Cat Food,Kilograms,2020,70128054
Malaysia,Economy Wet Cat Food,Kilograms,2021,71953701
Malaysia,Economy Wet Cat Food,Kilograms,2022,21037806
Malaysia,Economy Wet Cat Food,Kilograms,2023,22877441
Malaysia,Economy Wet Cat Food,Kilograms,2024,62110245
Malaysia,Economy Wet Cat Food,Kilograms,2025,83851050
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2012,20275536
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2013,23348331
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2014,32960641
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2015,63301404
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2016,84580622
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2017,79593794
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2018,39748175
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2019,52426637
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2020,73517107
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2021,74347075
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2022,73255924
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2023,82583227
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2024,67842759
Malaysia,Mid-Priced Dry Cat Food,Kilograms,2025,22813597
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2012,84961331
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2013,57462539
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2014,85493816
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2015,32277114
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2016,23077094
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2017,66677029
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2018,87771563
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2019,87895183
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2020,66200177
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2021,69223332
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2022,35166435
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2023,55158364
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2024,51018779
Malaysia,Mid-Priced Dry Dog Food,Kilograms,2025,48350441
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2012,65232334
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2013,88111048
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2014,27685392
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2015,81426023
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2016,71418945
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2017,40819185
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2018,59690681
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2019,56956341
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2020,89002417
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2021,68547440
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2022,28014122
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2023,61642120
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2024,82531017
Malaysia,Mid-Priced Wet Cat Food,Kilograms,2025,56162289
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2012,25310719
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2013,29135516
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2014,79974525
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2015,31406765
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2016,56893049
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2017,64674143
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2018,71644092
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2019,23890747
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2020,78777000
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2021,47890377
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2022,66472116
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2023,83479616
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2024,86789015
Malaysia,Mid-Priced Wet Dog Food,Kilograms,2025,70689351
Malaysia,Premium Dry Cat Food,Kilograms,2012,41569986
Malaysia,Premium Dry Cat Food,Kilograms,2013,20543793
Malaysia,Premium Dry Cat Food,Kilograms,2014,24633668
Malaysia,Premium Dry Cat Food,Kilograms,2015,74141572
Malaysia,Premium Dry Cat Food,Kilograms,2016,29553079
Malaysia,Premium Dry Cat Food,Kilograms,2017,58194243
Malaysia,Premium Dry Cat Food,Kilograms,2018,29672017
Malaysia,Premium Dry Cat Food,Kilograms,2019,63519846
Malaysia,Premium Dry Cat Food,Kilograms,2020,64200659
Malaysia,Premium Dry Cat Food,Kilograms,2021,27259129
Malaysia,Premium Dry Cat Food,Kilograms,2022,37284779
Malaysia,Premium Dry Cat Food,Kilograms,2023,41229253
Malaysia,Premium Dry Cat Food,Kilograms,2024,84364584
Malaysia,Premium Dry Cat Food,Kilograms,2025,28494304
Malaysia,Premium Dry Dog Food,Kilograms,2012,35651303
Malaysia,Premium Dry Dog Food,Kilograms,2013,35178341
Malaysia,Premium Dry Dog Food,Kilograms,2014,42379299
Malaysia,Premium Dry Dog Food,Kilograms,2015,46163763
Malaysia,Premium Dry Dog Food,Kilograms,2016,79085897
Malaysia,Premium Dry Dog Food,Kilograms,2017,55743954
Malaysia,Premium Dry Dog Food,Kilograms,2018,43401409
Malaysia,Premium Dry Dog Food,Kilograms,2019,55041159
Malaysia,Premium Dry Dog Food,Kilograms,2020,63869665
Malaysia,Premium Dry Dog Food,Kilograms,2021,87340544
Malaysia,Premium Dry Dog Food,Kilograms,2022,64510029
Malaysia,Premium Dry Dog Food,Kilograms,2023,26334597
Malaysia,Premium Dry Dog Food,Kilograms,2024,57021741
Malaysia,Premium Dry Dog Food,Kilograms,2025,53201175
Malaysia,Premium Wet Cat Food,Kilograms,2012,40082991
Malaysia,Premium Wet Cat Food,Kilograms,2013,53874617
Malaysia,Premium Wet Cat Food,Kilograms,2014,62749647
Malaysia,Premium Wet Cat Food,Kilograms,2015,71161391
Malaysia,Premium Wet Cat Food,Kilograms,2016,66513685
Malaysia,Premium Wet Cat Food,Kilograms,2017,71004763
Malaysia,Premium Wet Cat Food,Kilograms,2018,60703980
Malaysia,Premium Wet Cat Food,Kilograms,2019,49519080
Malaysia,Premium Wet Cat Food,Kilograms,2020,55688714
Malaysia,Premium Wet Cat Food,Kilograms,2021,21329549
Malaysia,Premium Wet Cat Food,Kilograms,2022,26934005
Malaysia,Premium Wet Cat Food,Kilograms,2023,47550840
Malaysia,Premium Wet Cat Food,Kilograms,2024,89220080
Malaysia,Premium Wet Cat Food,Kilograms,2025,27552423
Malaysia,Premium Wet Dog Food,Kilograms,2012,63206810
Malaysia,Premium Wet Dog Food,Kilograms,2013,57127731
Malaysia,Premium Wet Dog Food,Kilograms,2014,54753041
Malaysia,Premium Wet Dog Food,Kilograms,2015,31145747
Malaysia,Premium Wet Dog Food,Kilograms,2016,79005736
Malaysia,Premium Wet Dog Food,Kilograms,2017,57976340
Malaysia,Premium Wet Dog Food,Kilograms,2018,65957156
Malaysia,Premium Wet Dog Food,Kilograms,2019,42717779
Malaysia,Premium Wet Dog Food,Kilograms,2020,82340791
Malaysia,Premium Wet Dog Food,Kilograms,2021,83694640
Malaysia,Premium Wet Dog Food,Kilograms,2022,41503459
Malaysia,Premium Wet Dog Food,Kilograms,2023,28074823
Malaysia,Premium Wet Dog Food,Kilograms,2024,86955269
Malaysia,Premium Wet Dog Food,Kilograms,2025,52115172
Singapore,Mid-Priced Dry Cat Food,Kilograms,2012,20915574
Singapore,Mid-Priced Dry Cat Food,Kilograms,2013,54698278
Singapore,Mid-Priced Dry Cat Food,Kilograms,2014,27132202
Singapore,Mid-Priced Dry Cat Food,Kilograms,2015,64425595
Singapore,Mid-Priced Dry Cat Food,Kilograms,2016,50100022
Singapore,Mid-Priced Dry Cat Food,Kilograms,2017,38541515
Singapore,Mid-Priced Dry Cat Food,Kilograms,2018,36956043
Singapore,Mid-Priced Dry Cat Food,Kilograms,2019,35601624
Singapore,Mid-Priced Dry Cat Food,Kilograms,2020,37289998
Singapore,Mid-Priced Dry Cat Food,Kilograms,2021,71650654
Singapore,Mid-Priced Dry Cat Food,Kilograms,2022,61548232
Singapore,Mid-Priced Dry Cat Food,Kilograms,2023,34093230
Singapore,Mid-Priced Dry Cat Food,Kilograms,2024,70389751
Singapore,Mid-Priced Dry Cat Food,Kilograms,2025,51184407
Singapore,Mid-Priced Dry Dog Food,Kilograms,2012,45482513
Singapore,Mid-Priced Dry Dog Food,Kilograms,2013,52189449
Singapore,Mid-Priced Dry Dog Food,Kilograms,2014,23862929
Singapore,Mid-Priced Dry Dog Food,Kilograms,2015,86185598
Singapore,Mid-Priced Dry Dog Food,Kilograms,2016,81478784
Singapore,Mid-Priced Dry Dog Food,Kilograms,2017,62579844
Singapore,Mid-Priced Dry Dog Food,Kilograms,2018,51565100
Singapore,Mid-Priced Dry Dog Food,Kilograms,2019,52562042
Singapore,Mid-Priced Dry Dog Food,Kilograms,2020,40523749
Singapore,Mid-Priced Dry Dog Food,Kilograms,2021,87956115
Singapore,Mid-Priced Dry Dog Food,Kilograms,2022,24918223
Singapore,Mid-Priced Dry Dog Food,Kilograms,2023,38760189
Singapore,Mid-Priced Dry Dog Food,Kilograms,2024,41448825
Singapore,Mid-Priced Dry Dog Food,Kilograms,2025,57576140
Singapore,Mid-Priced Wet Cat Food,Kilograms,2012,47922021
Singapore,Mid-Priced Wet Cat Food,Kilograms,2013,75867726
Singapore,Mid-Priced Wet Cat Food,Kilograms,2014,83339327
Singapore,Mid-Priced Wet Cat Food,Kilograms,2015,22525837
Singapore,Mid-Priced Wet Cat Food,Kilograms,2016,75506465
Singapore,Mid-Priced Wet Cat Food,Kilograms,2017,61289533
Singapore,Mid-Priced Wet Cat Food,Kilograms,2018,82176060
Singapore,Mid-Priced Wet Cat Food,Kilograms,2019,82860506
Singapore,Mid-Priced Wet Cat Food,Kilograms,2020,48342043
Singapore,Mid-Priced Wet Cat Food,Kilograms,2021,56255838
Singapore,Mid-Priced Wet Cat Food,Kilograms,2022,20624164
Singapore,Mid-Priced Wet Cat Food,Kilograms,2023,87285068
Singapore,Mid-Priced Wet Cat Food,Kilograms,2024,50575108
Singapore,Mid-Priced Wet Cat Food,Kilograms,2025,87256008
Singapore,Mid-Priced Wet Dog Food,Kilograms,2012,72647299
Singapore,Mid-Priced Wet Dog Food,Kilograms,2013,84565757
Singapore,Mid-Priced Wet Dog Food,Kilograms,2014,44973572
Singapore,Mid-Priced Wet Dog Food,Kilograms,2015,28533909
Singapore,Mid-Priced Wet Dog Food,Kilograms,2016,36792950
Singapore,Mid-Priced Wet Dog Food,Kilograms,2017,66589999
Singapore,Mid-Priced Wet Dog Food,Kilograms,2018,89019217
Singapore,Mid-Priced Wet Dog Food,Kilograms,2019,51445883
Singapore,Mid-Priced Wet Dog Food,Kilograms,2020,22139978
Singapore,Mid-Priced Wet Dog Food,Kilograms,2021,35772873
Singapore,Mid-Priced Wet Dog Food,Kilograms,2022,46989265
Singapore,Mid-Priced Wet Dog Food,Kilograms,2023,23632193
Singapore,Mid-Priced Wet Dog Food,Kilograms,2024,54267487
Singapore,Mid-Priced Wet Dog Food,Kilograms,2025,31220530
Singapore,Premium Dry Cat Food,Kilograms,2012,84149494
Singapore,Premium Dry Cat Food,Kilograms,2013,72265775
Singapore,Premium Dry Cat Food,Kilograms,2014,71982874
Singapore,Premium Dry Cat Food,Kilograms,2015,59030147
Singapore,Premium Dry Cat Food,Kilograms,2016,23043865
Singapore,Premium Dry Cat Food,Kilograms,2017,20067693
Singapore,Premium Dry Cat Food,Kilograms,2018,24464948
Singapore,Premium Dry Cat Food,Kilograms,2019,23428515
Singapore,Premium Dry Cat Food,Kilograms,2020,58431079
Singapore,Premium Dry Cat Food,Kilograms,2021,62956793
Singapore,Premium Dry Cat Food,Kilograms,2022,49881355
Singapore,Premium Dry Cat Food,Kilograms,2023,65198586
Singapore,Premium Dry Cat Food,Kilograms,2024,89779216
Singapore,Premium Dry Cat Food,Kilograms,2025,77833014
Singapore,Premium Dry Dog Food,Kilograms,2012,50588310
Singapore,Premium Dry Dog Food,Kilograms,2013,38946754
Singapore,Premium Dry Dog Food,Kilograms,2014,74158728
Singapore,Premium Dry Dog Food,Kilograms,2015,50317852
Singapore,Premium Dry Dog Food,Kilograms,2016,53494603
Singapore,Premium Dry Dog Food,Kilograms,2017,62671065
Singapore,Premium Dry Dog Food,Kilograms,2018,22468056
Singapore,Premium Dry Dog Food,Kilograms,2019,69798428
Singapore,Premium Dry Dog Food,Kilograms,2020,23895294
Singapore,Premium Dry Dog Food,Kilograms,2021,88264214
Singapore,Premium Dry Dog Food,Kilograms,2022,21629469
Singapore,Premium Dry Dog Food,Kilograms,2023,75071938
Singapore,Premium Dry Dog Food,Kilograms,2024,70262181
Singapore,Premium Dry Dog Food,Kilograms,2025,75335583
Singapore,Premium Wet Cat Food,Kilograms,2012,33187319
Singapore,Premium Wet Cat Food,Kilograms,2013,30062321
Singapore,Premium Wet Cat Food,Kilograms,2014,89282051
Singapore,Premium Wet Cat Food,Kilograms,2015,27737729
Singapore,Premium Wet Cat Food,Kilograms,2016,66147445
Singapore,Premium Wet Cat Food,Kilograms,2017,37801182
Singapore,Premium Wet Cat Food,Kilograms,2018,32583668
Singapore,Premium Wet Cat Food,Kilograms,2019,89923455
Singapore,Premium Wet Cat Food,Kilograms,2020,61104510
Singapore,Premium Wet Cat Food,Kilograms,2021,47970997
Singapore,Premium Wet Cat Food,Kilograms,2022,83871490
Singapore,Premium Wet Cat Food,Kilograms,2023,56144375
Singapore,Premium Wet Cat Food,Kilograms,2024,87966457
Singapore,Premium Wet Cat Food,Kilograms,2025,46810934
Singapore,Premium Wet Dog Food,Kilograms,2012,63631958
Singapore,Premium Wet Dog Food,Kilograms,2013,56527293
Singapore,Premium Wet Dog Food,Kilograms,2014,35744760
Singapore,Premium Wet Dog Food,Kilograms,2015,45104246
Singapore,Premium Wet Dog Food,Kilograms,2016,85663512
Singapore,Premium Wet Dog Food,Kilograms,2017,86324008
Singapore,Premium Wet Dog Food,Kilograms,2018,52059916
Singapore,Premium Wet Dog Food,Kilograms,2019,60185362
Singapore,Premium Wet Dog Food,Kilograms,2020,57536251
Singapore,Premium Wet Dog Food,Kilograms,2021,58976083
Singapore,Premium Wet Dog Food,Kilograms,2022,84354265
Singapore,Premium Wet Dog Food,Kilograms,2023,20856702
Singapore,Premium Wet Dog Food,Kilograms,2024,45563367
Singapore,Premium Wet Dog Food,Kilograms,2025,52994026
South Korea,Economy Dry Cat Food,Kilograms,2012,61198191
South Korea,Economy Dry Cat Food,Kilograms,2013,26934406
South Korea,Economy Dry Cat Food,Kilograms,2014,49736284
South Korea,Economy Dry Cat Food,Kilograms,2015,67266829
South Korea,Economy Dry Cat Food,Kilograms,2016,71290862
South Korea,Economy Dry Cat Food,Kilograms,2017,62640507
South Korea,Economy Dry Cat Food,Kilograms,2018,77550018
South Korea,Economy Dry Cat Food,Kilograms,2019,89677067
South Korea,Economy Dry Cat Food,Kilograms,2020,33082182
